app_name,developer_name,label,directory_status,evidence_type,evidence_source,evidence_date,evidence_note,reviewed_by,reviewed_on
Rushloan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
CaymanCash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Loan Union,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
instant loan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Urupee,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
CashYes,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
RupeeUp,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
RupeeYes,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Cashfull,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Dreamloan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Grandloan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
HopeLoan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
KreditLoan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Leloloan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
LendNow,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
PunchMoney,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
RocLoan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
HavCash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
QuickCash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Cashere,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Cash delivery,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
BusyAnt,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
Cash Dove,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
