Sr. No,Entity Name,Website of RE,Entity Type,Name of the DLA,Name of the owner of DLA (Self-owned/ name of LSP in case DLA is of LSP),Available on (Website/ Name of app store),Link to DLA
1,121 FINANCE PRIVATE LIMITED (OLD NAME YERROW FINANCE AND INVESTMENTS PRIVATE LIMITED),https://121finance.com,NBFC,GeM Sahay,Government Emarketplace,Google Android, https://play.google.com/store/apps/details?id=com.gemsahay.perfios&hl=en
2,,https://121finance.com,NBFC,GeM Sahay,Government Emarketplace,iOS App Store,?https://apps.apple.com/in/app/gem-sahay/id6502699944
3,,https://121finance.com,NBFC,GeM Sahay,Government Emarketplace,Website,https://gem-sahay.perfios.com/pcg-gem/gemLogin
4,360 ONE PRIME LIMITED (FORMERLY  IIFL WEALTH PRIME LIMITED AND IIFL WEALTH FINANCE LTD) ,https://www.360.one/wealth/lending-solutions,NBFC,360 ONE Wealth – Lending,Self Owned,https://www.360.one/wealth/lending-solutionsApp store: Android,Android App URL: https://play.google.com/store/apps/details?id=com.one360.lending
5,,https://www.360.one/wealth/lending-solutions,NBFC,360 ONE Wealth – Lending,Self Owned,https://www.360.one/wealth/lending-solutionsApp store: Apple,iOS App URL: https://apps.apple.com/in/app/360-one-wealth-lending/id6757471560
6,4FIN FINANCE PRIVATE LIMITED,https://4fin.in/,NBFC,4Fin,4Fin Finance Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.fourfinfinance.b2c
7,AADHAR INDIA FINVEST LIMITED,https://aadharindiafinvest.com/,NBFC,Rupee112: Personal Loan App,Self Owned ,App Store ,https://apps.apple.com/in/app/rupee112-instant-loan/id6465577336
8,,https://aadharindiafinvest.com/,NBFC,Rupee112: Personal Loan App,Self Owned ,Google Play Store ,https://play.google.com/store/apps/details?id=com.vrindafinlease.rupee112 
9,,https://aadharindiafinvest.com/,NBFC,Rupee112: Personal Loan App,Self Owned ,Website ,https://www.rupee112.com/ 
10,"AASRA FINCORP PRIVATE LIMITED (NAME CHANGED ON MAY 14, 2019)",aasrafincorp.com,NBFC,MyMoneyBazaar,My Money Bazaar India Private Limited,MyMoneyBazaar,https://mymoneybazaar.com/
11,,aasrafincorp.com,NBFC,MyMoneyBazaar,My Money Bazaar India Private Limited,MyMoneyBazaar,https://play.google.com/store/apps/details?id=com.my.moneybazzar
12,ABHAYKUMAR LEA-FIN & INVESTMENTS (PRIVATE) LIMITED,https://alfifinance.com,NBFC,KreditMart,KREDITMART SMARTPAY ADVISORY PRIVATE LIMITED,Website,https://kreditmart.loan
13,,https://alfifinance.com,NBFC,Kredit Mart Personal Loan App,KREDITMART SMARTPAY ADVISORY PRIVATE LIMITED,Google Play Store,https://kreditmart.loan
14,ACG LEASING LTD.,https://acgleasinglimited.com/,NBFC,Loanontip ,RRYO Private Limited ,Website,https://loanontip.com/
15,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,www.achiieversfinance.com,NBFC,ACHIIEVERS QUICK GOLD LOAN,SELF-OWNED,Google Play Store,https://play.google.com/store/apps/details?id=com.dimensions.liveloancustomerafil
16,,www.achiieversfinance.com,NBFC,ACHIIEVERS QUICK GOLD LOAN,SELF-OWNED,Website,https://www.achiieversquickgoldloan.com/apply-now/
17,,www.achiieversfinance.com,NBFC,AFIL LLC,SELF-OWNED,Web App,https://cloud40.dimensionslive.com/AFILLLC/
18,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,Google Play Store,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.achiievers&pcampaignid=web_share
19,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,IndusApp,https://www.indusappstore.com/apps/finance/jhatpat-loans/com.habile.cloudbankin.achiievers/?page=details&id=com.habile.cloudbankin.achiievers
20,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,Web App,https://webapp.jhatpatloans.com/onboard/#/login/borrower
21,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,Website,https://www.jhatpatloans.com/apply-loan
22,ACOLYTE FINSERV LIMITED (EARLIER KNOWN AS GAGAN METALS LIMITED),www.acolytefinserv.com.com,NBFC,Borrowera,Self Owned,https://www.borrowera.com/,https://www.borrowera.com/
23,,www.acolytefinserv.com.com,NBFC,Credxpres,Self Owned,https://credxpres.com/,https://credxpres.com/
24,,www.acolytefinserv.com.com,NBFC,Instant Paise,Self Owned,https://instantpaise.com/,https://instantpaise.com/
25,,www.acolytefinserv.com.com,NBFC,Loanfinserve,Self Owned,https://www.loanfinserve.com/,https://www.loanfinserve.com/
26,,www.acolytefinserv.com.com,NBFC,Loan Mitraa,Self Owned,https://loanmitraa.com/,https://loanmitraa.com/
27,,www.acolytefinserv.com.com,NBFC,Moneywalle,Self Owned,https://moneywalle.com/,https://moneywalle.com/
28,,www.acolytefinserv.com.com,NBFC,Perfect Paisa,Self Owned,https://perfect-paisa.com/,https://perfect-paisa.com/
29,ADITSH FINTECH PRIVATE LIMITED,https://aditshfintech.com/,NBFC,Blink Credit,FINOVATEX TECHNOLOGIES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.core.service.safe.cred.link.pro.ncin.app
30,ADITYA BIRLA CAPITAL LIMITED (MERGED WITH ADITYA BIRLA FINANCE LIMITED),https://www.adityabirlacapital.com/,NBFC,Digital Eco system,Udyog Plus Digital Journey - ABCL,Website,https://udyogplus.adityabirlacapital.com/login?url=/instant-business-loan
31,,??https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Aditya Birla Capital Digital?,?Aditya Birla Capital Digital?Limited,Apple App store,https://apps.apple.com/in/app/abcd-aditya-birla-capital-app/id6477909524
32,,??https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Aditya Birla Capital Digital?,?Aditya Birla Capital Digital?Limited,Google Play Store,ABCD Aditya Birla Capital - Apps on Google Play
33,,??https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Aditya Birla Capital Digital?,?Aditya Birla Capital Digital?Limited,Website ,https://oneapp.abfldirect.com/epl/login?dsa_hash=8fe0ba1c6fcc8ff1d90f2158d8ff0166471f91b1145be9431843a0df7b00df66https://abcd.adityabirlacapital.com/PersonalLoan
34,,?https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Insta PL,?Self Owned (Aditya Birla Capital Limited),?Website,https://oneapp.abfldirect.com/epl/login?dsa_hash=79c341f193a8d0f14b2034a83644fd2347eb0571cd4e7c9d07cb81e978c37b1d
35,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Angel One's Super App,Angel One,Apple App Store,https://apps.apple.com/in/app/angel-one-stocks-mutual-fund/id1060530981
36,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Angel One's Super App,Angel One,Google Play Store,https://play.google.com/store/apps/details?id=com.msf.angelmobile&hl=en
37,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,BharatPe for Business, Resilient Digi Services Private Limited,Apple App Store,https://apps.apple.com/in/app/bharatpe-for-business/id1329385873
38,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,BharatPe for Business,Resilient Digi Services Private Limited,Google Play store,https://play.google.com/store/apps/details?id=com.bharatpe.app&hl=en_IN&pli=1
39,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Cred,Dreamplug Technologies Pvt. Ltd.,Apple App store,https://apps.apple.com/in/app/cred-credit-cards-bills-upi/id1428580080
40,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Cred,Dreamplug Technologies Pvt. Ltd.,Google Play Store,https://play.google.com/store/apps/details?id=com.dreamplug.androidapp&hl=en_IN
41,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Cred,Dreamplug Technologies Pvt. Ltd.,Website,https://cred.club/
42,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Flexiloan,Epimoney Private Limited,Website,https://flexiloans.com
43,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Google Pay,Google India Digital Services Pvt Ltd,Apple App store,Apple App Store: https://gpay.app.goo.gl/1nmD
44,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Google Pay,Google India Digital Services Pvt Ltd,Google Play store,Google Play:??https://pay.google.com/intl/en_in/about/
45,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Indifi,Indifi Technologies Private Limited,Website,https://www.indifi.com
46,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kissht ,OnEMI Technologies Solutions Limited ,PlayStore,Kissht: Instant Personal Loans - Apps on Google Play
47,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kissht IOS,OnEMI Technologies Solutions Limited ,App store,https://apps.apple.com/in/app/kissht-personal-loan-app/id6752766331
48,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Apple App Store,https://apps.apple.com/in/app/easy-personal-loan-kreditbee/id1488736283
49,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.kreditbee.android
50,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,IndusApp,https://indusapp.store/9ip3i05q
51,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Mi App Store,https://global.app.mi.com/details?lo=IN&la=en_US&id=com.kreditbee.android
52,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Oppo App Store,oaps://mk/dt?pkg=com.kreditbee.android&style=1
53,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Samsung App Store,https://apps.samsung.com/appquery/appDetail.as?appId=com.kreditbee.android
54,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Vivo Market,vivomarket://details?id=com.kreditbee.android
55,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Kreditbee,Finnovation Tech Solutions Private Limited,Website,https://www.kreditbee.in/
56,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,LendingKart,Lendingkart Finance Limited,Website,https://www.lendingkart.com
57,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Moneyview,Moneyview Limited (formerly known as Whizdm Innovations Private Limited),Android,https://play.google.com/store/apps/details?id=com.whizdm.moneyview.loans&pcampaignid=web_share
58,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Moneyview,Moneyview Limited (formerly known as Whizdm Innovations Private Limited),IOS,https://apps.apple.com/in/app/moneyview-loans-credit-cards/id6468976019
59,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Paisabazaar,Paisabazaar Marketing And Consulting Pvt Ltd,Website / Google Play Store and Apple app?store,https://apps.apple.com/in/app/paisabazaar-com-loans-cards/id1029403201
60,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Paisabazaar,Paisabazaar Marketing And Consulting Pvt Ltd,Website / Google Play Store and Apple app?store,https://play.google.com/store/apps/details?id=com.paisabazaar&hl=en_IN&pli=1
61,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Paytm,One97 Communications Limited,Apple App store,https://apps.apple.com/in/app/paytm/id473941634
62,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Paytm,One97 Communications Limited,Google Play store,https://play.google.com/store/apps/details?id=net.one97.paytm
63,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Phone pe ,PhonePe Lending Services Pvt Ltd,Apple App store ,https://apps.apple.com/in/app/phonepe-secure-payments-app/id1170055821
64,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Phone pe ,PhonePe Lending Services Pvt Ltd,Google Play store,https://play.google.com/store/apps/details?id=com.phonepe.app&hl=en_IN
65,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Prefr,Dreamplug Technologies Private Limited,Apple App store,https://apps.apple.com/in/app/prefr-personal-loan-app-india/id6758143425
66,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Prefr,Dreamplug Technologies Private Limited,Google Play store,https://play.google.com/store/apps/dev?id=8232133924451524143&hl=en_IN
67,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Prefr,Dreamplug Technologies Private Limited,Website,https://prefr.com/
68,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Propelld,Bluebear Technology Private Limited,Website,https://propelld.com/
69,,https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Ring,OnEMI Technologies Solutions Limited ,PlayStore,RING (by Kissht): Quick Loans - Apps on Google Play
70,AEON CREDIT SERVICE INDIA PRIVATE LIMITED,https://www.aeoncredit.co.in/,NBFC,AEON FAST (This is used only for generating pre-approval credit limit as of now),AEON Credit Service India Private Limited,Google Play Store and IOS App Store,https://play.google.com/store/apps/details?id=com.stetig.aeon_mobile_app&pcampaignid=web_share       https://apps.apple.com/in/app/aeon-fast/id6673896502?
71,AEROFLEX FINANCE PRIVATE LIMITED,https://aeroflexfinance.com/,NBFC,InstaMoney,Roctogen Services Private Limited,Playstore,https://play.google.com/store/apps/details?id=com.innofinsolutions.instamoney&hl=en_IN&pli=1
72,AGAMAN FINANCIAL SERVICES LIMITED,https://www.agamanfinancial.com/credit_score,NBFC,Right Rupee,Agaman Financial Private Limited,Website,https://www.rightrupee.com/apply-now.php
73,AGARWAL ASSIGNMENTS PVT. LTD.,https://www.agarwalassignments.com,NBFC,EASYFINCARE,Self-owned,Website,https://www.easyfincare.com
74,,https://www.agarwalassignments.com,NBFC,EASYRUPEE LOAN,WISTFUL FINANCE PRIVATE LIMITED,Website,https://www.easyrupeeloan.com
75,,https://www.agarwalassignments.com,NBFC,EMI Wale,Self-owned,Website,https://emiwalle.com
76,,https://www.agarwalassignments.com,NBFC,EVERYDAY EMI,Self-owned,Website,https://everydayemiloan.com
77,,https://www.agarwalassignments.com,NBFC,LOAN WITHIN,Self-owned,Website,https://www.loanwithin.com
78,,https://www.agarwalassignments.com,NBFC,ZERO LOAN INTREST,Self-owned,Website,https://www.zeroloaninterest.com
79,A.G.F. FINLEASE (INDIA) LIMITED,https://agffinlease.com/,NBFC,KREDBHARAT,TWOMINUTES FINTECH PRIVATE LIMITED,GOOGLE PLAY STORE,https://play.google.com/store/apps/details?id=com.twominutesfintech
80,,https://agffinlease.com/,NBFC,KREDBHARAT,TWOMINUTES FINTECH PRIVATE LIMITED,WEBSITE,https://kredbharat.com/
81,,https://agffinlease.com/,NBFC,RULE MUDRA,TWOMINUTES FINTECH PRIVATE LIMITED,GOOGLE PLAY STORE,https://play.google.com/store/apps/details?id=com.rulemudra.loan
82,,https://agffinlease.com/,NBFC,RULE MUDRA,TWOMINUTES FINTECH PRIVATE LIMITED,WEBSITE,https://rulemudra.com/
83,AGIWAL FINANCE PRIVATE LIMITED (EARLIER KNOWN AS SURMIT INVESTMENTS PVT LTD).,https://www.agiwalfinance.com/,NBFC,AGI MONEEY,Agiwal Fintech Private Limited,App store,https://apps.apple.com/in/app/agi-moneey/id6771662067
84,,https://www.agiwalfinance.com/,NBFC,AGI MONEEY,Agiwal Fintech Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.agimoneeyloan.app
85,,https://www.agiwalfinance.com/,NBFC,AGI MONEEY,Agiwal Fintech Private Limited,Website,https://admin.agimoneey.com/
86,AGRIM FINCAP PVT.LTD.,https://swipeloan.in,NBFC,Swipe Loan,KGIL Fintech Solutions Private Limited,Website,https://swipeloan.in
87,,www.agrimfincap.com ,NBFC,5minuteloan,Self-owned,Website,www.5minuteloan.com 
88,,www.agrimfincap.com ,NBFC,Paisaanytime,Self-owned,Website,www.paisaanytime.com 
89,,www.agrimfincap.com ,NBFC,Rupyalelo,Self-owned,Website,www.rupyalelo.com 
90,,www.agrimfincap.com ,NBFC,Shreeloan,Self-owned,Website,www.shreeloan.com 
91,,www.agrimfincap.com ,NBFC,Speedoloan,Self-owned,Play Store ,https://play.google.com/store/apps/details?id=com.speedoloan.speedoloan&hl=en_IN 
92,,www.agrimfincap.com ,NBFC,Speedoloan,Self-owned,Website,www.speedoloan.com 
93,,www.agrimfincap.com ,NBFC,True Fund,Self-owned,Website,https://truefund.in/ 
94,AIRTEL MONEY LIMITED,www.airtelmoney.in,NBFC,Airtel App,Xtelify Limited,Google Play store/App store,https://play.google.com/store/apps/details?id=com.myairtelapp&hl=en_IN&gl=US and https://apps.apple.com/us/app/airtel-thanks-recharge-upi/id543184334
95,AKARA CAPITAL ADVISORS PRIVATE LIMITED,https://www.akaracap.com/,NBFC,Indialends,GC Web Ventures Private Limited,Apple Appstore,https://apps.apple.com/in/app/indialends-loans-credit-score/id1163514601
96,,https://www.akaracap.com/,NBFC,Indialends,GC Web Ventures Private Limited,Google Playstore,https://play.google.com/store/apps/details?id=com.indialends.android&hl=en
97,,https://www.akaracap.com/,NBFC,Indialends,GC Web Ventures Private Limited,Website,https://indialends.com/
98,,https://www.akaracap.com/,NBFC,Mint Money,HT Digital Streams Limited,Apple Appstore,https://apps.apple.com/in/app/mint-money-credit-score-loans/id6751579585
99,,https://www.akaracap.com/,NBFC,Mint Money,HT Digital Streams Limited,Google Playstore,https://play.google.com/store/apps/details?id=com.htmintmoney
100,,https://www.akaracap.com/,NBFC,Mint Money,HT Digital Streams Limited,Website,www.livemintmoney.com
101,,https://www.akaracap.com/,NBFC,Stashfin,EQX Analytics Private Limited,Apple Appstore,https://apps.apple.com/in/app/stashfin-loans-bonds-more/id1276990457
102,,https://www.akaracap.com/,NBFC,Stashfin,EQX Analytics Private Limited,Google Playstore,https://play.google.com/store/search?q=stashfin&amp;c=apps
103,,https://www.akaracap.com/,NBFC,Stashfin,EQX Analytics Private Limited,Website,https://www.stashfin.com/
104,,https://www.akaracap.com/,NBFC,Turtlemint Loans,Turtlemint Fintech Solutions Limited,Website,https://turtlemintloans.com/loans
105,ALLEN'S HOUSING  & FINANCE LTD,https://allenhf.in/,NBFC,PocketRupee,PHRENOLOGICAL INFO AUDIT AND APP SOLUTION PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.pocket.rupee.deal
106,,https://allenhf.in/,NBFC,PocketRupee,PHRENOLOGICAL INFO AUDIT AND APP SOLUTION PRIVATE LIMITED,iOS App Store,https://apps.apple.com/in/app/dinerolisto/id6780918242
107,ALTURA FINANCIAL SERVICES LIMITED,https://alturafinancials.com/,NBFC,AssistFin Technologies Private Limited,Self-owned,Website,https://loanone.in/
108,AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,https://www.nextfin.in/,NBFC,Nextfin: Instant Loan,Amar Amba Finance Hire Purchase Pvt Ltd,App Store,https://apps.apple.com/in/app/nextfin-instant-loans/id1602053613
109,,https://www.nextfin.in/,NBFC,Nextfin: Instant Loan,Amar Amba Finance Hire Purchase Pvt Ltd,Google Play Store,https://play.google.com/store/apps/details?id=in.nextfin.app
110,,https://www.nextfin.in/,NBFC,Nextfin: Instant Loan,Amar Amba Finance Hire Purchase Pvt Ltd,Website,https://www.nextfin.in/
111,AMARAVATHI FINANCIAL SOLUTIONS PRIVATE LIMITED,https://amaravathifin.in/,NBFC,Get it Now,Kapiital kapslock Private Limited,Google Playstore,https://play.google.com/store/apps/details?id=com.kapiital.getitnow&hl=en_IN
112,AMBIT FINVEST PVT. LTD. (FORMERLY - AMBIT RETAIL FINANCE PVT. LTD.),https://www.werize.com/,NBFC,WeRize Customer App,Wortgage Technologies Pvt Ltd,Google Play Store ,https://play.google.com/store/apps/details?id=com.moneyonclick.customerapp
113,AMICA FINANCE PRIVATE LIMITED,https://www.jupiter.credit/,NBFC,Finsall,Finsall Resources Private Limited,"Website, Google Play store and Apple App Store","www.finsall.com/Finsall, Finsall - Apps on Google Play, - https://apps.apple.com/in/app/finsall/id155341993"
114,,https://www.jupiter.credit/,NBFC,Jupiter ,Amica Financial Technologies Private Limited,Google Play store and Apple App Store,"https://play.google.com/store/apps/details?id=money.jupiter, https://apps.apple.com/in/app/jupiter-cards-upi-banking/id1507748747"
115,,https://www.jupiter.credit/,NBFC,Khatabook,ADJ Utility Apps Private Limited,Google Play store and Apple App Store,1. https://play.google.com/store/apps/details?id=com.vaibhavkalpe.android.khatabook&pcampaignid=web_share; 2. https://apps.apple.com/in/app/khatabook-vyapar-app/id1488204139
116,AMPIRE FINANCE PRIVATE LIMITED (EARLIER KNOWN AS MAULESH INVESTMENTS PRIVATE LIMITED),https://ampirefinance.com/,NBFC,F1 Speed Loan,Self Owned,Website,https://f1speedloan.com/
117,,https://ampirefinance.com/,NBFC,Fast Paise,Self Owned,Website,https://fastpaise.ai/
118,,https://ampirefinance.com/,NBFC,Fundsb4salary,Self Owned,Website,http://fundsb4salary.com/
119,,https://ampirefinance.com/,NBFC,Fundsbull,Self Owned,Website,http://fundsbull.com/
120,,https://ampirefinance.com/,NBFC,QuickOneLoan,Self Owned,Website,https://quickoneloan.com/
121,,https://ampirefinance.com/,NBFC,Salary Adda,Self Owned,Website,https://salaryadda.com/
122,,https://ampirefinance.com/,NBFC,Salary Setu,Self Owned,Website,https://salarysetu.com/
123,,https://ampirefinance.com/,NBFC,Snap Paisa,Self Owned,Website,https://snappaisa.com/
124,AMPIRE FINANCE PRIVATE LIMITED( FORMERLY KNOWN AS MAULESH INVESTMENT PRIVATE LTD),https://ampirefinance.com/,NBFC,Credbuddy,Self owned,Website,https://thecredbuddy.com/
125,,https://ampirefinance.com/,NBFC,F 1 Speed Loan,Self Owned,Website,https://f1speedloan.com/
126,,https://ampirefinance.com/,NBFC,Fast Paisa,Self Owned,Website,https://fastpaise.in/
127,,https://ampirefinance.com/,NBFC,Salary Adda,Self Owned,Website,https://salaryadda.com/
128,,https://ampirefinance.com/,NBFC,Salary Setu,Self Owned,Website,https://salarysetu.com/
129,,https://ampirefinance.com/,NBFC,Snap Paisa,Self Owned,Website,https://www.snappaisa.com/
130,ANAND RATHI GLOBAL FINANCE  LTD. (FORMERLY - RATHI GLOBAL FINANCE  LTD.), https://anandrathiglobal.com/,NBFC,Anand Rathi Global Finance Limited,Self owned, Website,https://digitallas.rathi.com/. 
131,ANGEL FINCAP PRIVATE LIMITED,https://angelonecredit.in/,NBFC,Angel One,Angel One Limited,Google Play Store,https://protect.checkpoint.com/v2/r05/___https://play.google.com/store/apps/details?id=com.msf.angelmobile&hl=en_IN___.YXBzMTphbmdlbG9uZTpjOm86MmNmMjI2MTgzMWVhZTM2ZGE1OTMxYzYyNzI5Yjc4ZGE6Nzo0NTNkOjEyMmE1ZDYxZTlhNmE5NmNiYzExODQwODA1NzhlNDMwZDA0MGJiYzc3ZmQ2ODAzN2E2NzQ2OWVjZWJjODE0MTI6dDpGOkY
132,,https://angelonecredit.in/,NBFC,Angel One ,Angel One Limited,Apple app store,https://protect.checkpoint.com/v2/r05/___https://apps.apple.com/in/app/angel-one-stocks-mutual-fund/id1060530981___.YXBzMTphbmdlbG9uZTpjOm86MmNmMjI2MTgzMWVhZTM2ZGE1OTMxYzYyNzI5Yjc4ZGE6Nzo2NWQ2OjljNDg2NjZjZjBjOGUwMjFlNjgwMDdiZTU3MDFiZTU4YmU3YWE5MjhkMWYwMWFjY2NlMTAwNWU1MGYxNTQ2NzU6dDpGOkY
133,ANUPAM FINSERV LIMITED (FORMERLY VANTAGE CORPORATE SERVICES LTD),www.anupamfinserv.com,NBFC,AbhiRupee,Dhairya Management Services Private Limited,Apple Appstore,https://abhirupee.com/
134,APARAMPAAR FINANCE PRIVATE LIMITED,https://www.omozing.com/,NBFC,Omozing Personal Loans,Aparampaar Finance Private Limited,Play Store,https://play.google.com/store/apps/details?id=com.omozing_developers.omozing_updated
135,APOLLO FINVEST (INDIA) LTD.,https:// www.apollofinvest.com/,NBFC,Airpay Capital,Airpay Payment Services Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.airpay.capital&hl=en_IN
136,,https:// www.apollofinvest.com/,NBFC,Apollo Cash,Self-owned,Google Playstore,https://play.google.com/store/ apps/details? id=com.ApolloApp&pcampaig nid=web_share
137,,https:// www.apollofinvest.com/,NBFC,FatakPay,FatakPay Digital Private Limited,Apple Appstore,https://apps.apple.com/in/app/fatakpay/id6468567795
138,,https:// www.apollofinvest.com/,NBFC,FatakPay,FatakPay Digital Private Limited,Google Playstore,https://play.google.com/store/apps/details?id=com.fatakpay&gl=in
139,,https:// www.apollofinvest.com/,NBFC,FatakPay,FatakPay Digital Private Limited,Website,https://fatakpay.com/
140,,https:// www.apollofinvest.com/,NBFC,GrowFi loan aggregator app,Gaman Technologies Pvt Ltd. ( Self- owned),Google Play Store,https://play.google.com/store/search?q=growfi&c=apps&hl=en_IN
141,,https:// www.apollofinvest.com/,NBFC,GrowFi loan aggregator app,Gaman Technologies Pvt Ltd. ( Self- owned),Website,https://growfi.app/
142,,https:// www.apollofinvest.com/,NBFC,Loanmax,LOANMAX ADVISORY LLP,Google Play Store,https://play.google.com/store/apps/details?id=com.loanmax&hl=en_IN
143,,https:// www.apollofinvest.com/,NBFC,NIRA,SHUHARI TECH VENTURES PRIVATE LIMITED,Apple Appstore,https://play.google.com/store/search?q=nira&c=apps&gl=in
144,,https:// www.apollofinvest.com/,NBFC,WeRize,Wortgage Technologies Private Limited,Google Play store,https://play.google.com/store/apps/details?id=com.mocpartnerportal
145,,https:// www.apollofinvest.com/,NBFC,WeRize,Wortgage Technologies Private Limited,Website,https://partner.werize.com/LandingPage
146,ARHAM FINANCE & INVESTMENT SERVICES LTD.,https://arhamfinance.com/,NBFC,Credfin: Instant Personal Loans,Credfin Services Private Limited,https://credfin.money/,https://play.google.com/store/apps/details?id=com.credfin.money
147,"ARISTO SECURITIES PVT, LTD.",https://www.revfincapital.com,NBFC,Revfin,Revfin Services Private Limited,Apple store,https://apps.apple.com/in/app/revfin/id1454364758
148,,https://www.revfincapital.com,NBFC,Revfin,Revfin Services Private Limited,Google Play store,https://play.google.com/store/apps/details?id=com.revfin_ptech18
149,,https://www.revfincapital.com,NBFC,RevnU,Revfin Services Private Limited,Apple store,https://apps.apple.com/in/app/revnu/id1461749942
150,,https://www.revfincapital.com,NBFC,RevnU,Revfin Services Private Limited,Google Play store,https://play.google.com/store/apps/details?id=com.revfin.partner&pcampaignid=web_share
151,ARNOLD HOLDINGS LTD,https://arnoldholdings.in/,NBFC,TRADOFINA,SELF OWNED(ARNOLD HOLDINGS LTD),GOOGLE PLAY STORE,https://play.google.com/store/apps/details?id=com.rufilo.user&hl=en_IN
152,ARTHASHASTRA EPAYLATER FINANCIAL PRIVATE LIMITED,https://www.epaylater.in/,NBFC,ePayLater,Arthashastra Fintech Private Limited,ePayLater,https://play.google.com/store/search?q=epaylater&c=apps&hl=en
153,ARYAMAN FINANCE (INDIA) LIMITED,https://www.aryamanfinance.co.in/,NBFC,GetCred,Aryaman Finance (India) Limited,Google Play Console and apple developer,https://play.google.com/store/apps/details?id=com.personalloanapp
