app_name,developer_name,regulated_entity,platform,app_url,directory_status,candidate_group,feature_collection_status,notes
Buddy Loan,Bvalue Services Private Limited,EPIMONEY PRIVATE LIMITED,Website,https://www.buddyloan.com/,Listed,Verified,Pending,
RupyMart,Rupymart Tech Private Limited,"LORD KRISHNA FINANCIAL SERVICES LTD,",Website,https://rupymart.com,Listed,Verified,Pending,
Manipal Fintech - Loan App,Manipal Fintech Private Limited,MANIPAL FINCAP PRIVATE LIMITED (EARLIER KNOWN AS SIMPLEPAY FINANCE PRIVATE LIMITED),New App/ NA,,Listed,Verified,Pending,
ZET,ZET Technolabs Private Limited,FDPL FINANCE PRIVATE LIMITED,Apple App Store,https://apps.apple.com/in/app/zet-build-your-credit-score/id6736613540,Listed,Verified,Pending,
QuickPaisa Fintech Private Limited,QuickPaisa Fintech Private Limited,USB FINANCIAL CORPORATION LTD,Apple App Store,https://apps.apple.com/in/app/quickpaisa-get-loan-get-reward/id6752324494,Listed,Verified,Pending,
One Andro,Andromeda Sales and Distribution Private Limited,EARLYSALARY SERVICES PRIVATE LIMITED (OLD NAME ASHISH SECURITIES PVT. LTD.),Appstore,https://apps.apple.com/in/app/oneandro-loans-insurance/id6478778926,Listed,Verified,Pending,
Apply for Credit Card,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Website,https://apply.creditcard.pnb.bank.in,Listed,Verified,Pending,
Ananda Dairy Limited,ANANDA DAIRY LIMITED,ZEAL HOLDINGS PRIVATE LIMITED,Website,https://ananda.in,Listed,Verified,Pending,
MyMoneyMantra: Loans & Cards,MyMoneyMantra Fintech Private Limited,L&T FINANCE LIMITED (FORMERLY L&T FINANCE HOLDINGS LIMITED),Apple App Store,https://apps.apple.com/in/app/mymoneymantra-loans-cards/id1568452714,Listed,Verified,Pending,
Suvron,Shantilekh Global Technology Private Limited,READY LEASING PRIVATE LIMITED,Apple App Store,to be published,Listed,Verified,Pending,
Moneycontrolpay,Moneycontrol Dot Com India Limited,L&T FINANCE LIMITED (FORMERLY L&T FINANCE HOLDINGS LIMITED),Website,https://www.moneycontrolpay.com/,Listed,Verified,Pending,
Digital Lending Platform,Canara Bank,CANARA BANK,Website,https://portal.digiloans.canarabank.in/LoanPortal/,Listed,Verified,Pending,
PM Vidya Laxmi,Canara Bank,INDIAN BANK,Website,https://pmvidyalaxmi.co.in/,Listed,Verified,Pending,
"PhonePe: UPI, Payments, Recharge",PHONEPE LENDING SERVICES PRIVATE LIMITED,DSP FINANCE PRIVATE LIMITED,"Appstore - PhonePe: UPI, Payments, Recharge",https://apps.apple.com/in/app/phonepe-secure-payments-app/id1170055821,Listed,Verified,Pending,
Flipkart App,Flipkart Internet Private Limited(DLA),HERO FINCORP LIMITED,Apple App Store,https://apps.apple.com/in/app/flipkart-online-shopping-app/id742044692,Listed,Verified,Pending,
PAISA UDHAR,JUNOON CAPITAL SERVICES (P) LTD.,JUNOON CAPITAL SERVICES (P) LTD.,Website,https://www.paisaudhar.com,Listed,Verified,Pending,
Dhanrishi,Fintech Cloud Private Limited,GAGANDEEP SERVICES PRIVATE LIMITED,Website,https://dhanrishi.com/,Listed,Verified,Pending,
Lionlender-Loan App,Lionlender Finance Private Limited,LIONLENDER FINANCE PRIVATE LIMITED,Apple App Store,https://lionlender.in/,Listed,Verified,Pending,
PQPL,BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,Website,https://bomdigitalloans.bankofmaharashtra.bank.in/#/layout/papl/login?bom,Listed,Verified,Pending,
