app_name,developer_name,group_label,directory_status,source_url,app_url,contacts_permission,call_logs_permission,sms_permission,media_permission,named_regulated_lender,apr_disclosed,developer_website_present,physical_address_present,company_email_domain,app_age_days,days_since_update,installs,rating,complaint_rate,name_similarity,feature_source_date,feature_source_note,collection_status
JHATPAT LOANS,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.achiievers&pcampaignid=web_share,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.achiievers&pcampaignid=web_share,,,,,,,,,,,,,,,,,,Pending
Money Monk App,MONK CAPITAL PVT. LTD. (FORMERLY GLAZE BARTER PVT. LTD.),Verified,Listed,https://play.google.com/store/apps/details?id=com.monkCapital.moneyMonk&hl=en_IN,https://play.google.com/store/apps/details?id=com.monkCapital.moneyMonk&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
PayZapp,HDFC BANK LTD.,Verified,Listed,https://v.hdfc.bank.in/payzapp/index.html,https://v.hdfc.bank.in/payzapp/index.html,,,,,,,,,,,,,,,,,,Pending
NYE,Rapipay Fintech Private Limited,Verified,Listed,https://in.rapipay.com,https://in.rapipay.com,,,,,,,,,,,,,,,,,,Pending
Toyota Finance,TOYOTA FINANCIAL SERVICES INDIA LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.toyotafinance.projectvikram,https://play.google.com/store/apps/details?id=com.toyotafinance.projectvikram,,,,,,,,,,,,,,,,,,Pending
FriendLoan - 1hr Business Loan,SAMPATHI CREDITS PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=in.fl.loan,https://play.google.com/store/apps/details?id=in.fl.loan,,,,,,,,,,,,,,,,,,Pending
Airpay Capital,Airpay Payment Services Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.airpay.capital&hl=en_IN,https://play.google.com/store/apps/details?id=com.airpay.capital&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
MCFL Loans,MANGAL CREDIT AND FINCORP LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.mangalgoldloan,https://play.google.com/store/apps/details?id=com.mangalgoldloan,,,,,,,,,,,,,,,,,,Pending
CreditFIT App,Creditmantri Finserve Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.creditmantri,https://play.google.com/store/apps/details?id=com.creditmantri,,,,,,,,,,,,,,,,,,Pending
salary24x7,Finovel Fintech Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.merusphere.salary247.borrower&pcampaignid=web_share,https://play.google.com/store/apps/details?id=com.merusphere.salary247.borrower&pcampaignid=web_share,,,,,,,,,,,,,,,,,,Pending
Upwards,LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),Verified,Listed,https://play.google.com/store/apps/details?id=com.goupwards&hl=en_IN&pli=1,https://play.google.com/store/apps/details?id=com.goupwards&hl=en_IN&pli=1,,,,,,,,,,,,,,,,,,Pending
MidFin Customer Service App,MIDLAND MICROFIN LIMITED (FORMERLY SAJAN HIRE PURCHASE LIMITED),Verified,Listed,https://play.google.com/store/apps/details?id=com.microfin.midland&hl=en_IN,https://play.google.com/store/apps/details?id=com.microfin.midland&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Ninja Global Import Export,Ninjacart Services Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.ninja.ninjaglobal&pli=1,https://play.google.com/store/apps/details?id=com.ninja.ninjaglobal&pli=1,,,,,,,,,,,,,,,,,,Pending
Loan against Mutual Funds,CITY UNION BANK LIMITED,Verified,Listed,https://las.cityunionbank.in,https://las.cityunionbank.in,,,,,,,,,,,,,,,,,,Pending
Kissht,OnEMI Technologies Solutions Limited,Verified,Listed,Kissht: Instant Personal Loans - Apps on Google Play,Kissht: Instant Personal Loans - Apps on Google Play,,,,,,,,,,,,,,,,,,Pending
ZenLyfe Loan against Deposit( Mobile Banking App ),BANK OF MAHARASHTRA,Verified,Listed,Available in Play Store / App Store,Available in Play Store / App Store,,,,,,,,,,,,,,,,,,Pending
AU 0101 Business - Mobile Banking,AU SMALL FINANCE BANK LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.au.mrct,https://play.google.com/store/apps/details?id=com.au.mrct,,,,,,,,,,,,,,,,,,Pending
Get it Now,Kapiital kapslock Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.kapiital.getitnow&hl=en_IN,https://play.google.com/store/apps/details?id=com.kapiital.getitnow&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Branch International Financial Services Private Limited,Branch International Financial Services Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.branch_international.branch.branch_demo_android&referrer=utm_source=IN_Website&utm_medium=CTA_Click&utm_term=CTA_click&gl=in,https://play.google.com/store/apps/details?id=com.branch_international.branch.branch_demo_android&referrer=utm_source=IN_Website&utm_medium=CTA_Click&utm_term=CTA_click&gl=in,,,,,,,,,,,,,,,,,,Pending
WeRize Customer App,Wortgage Technologies Pvt Ltd,Verified,Listed,https://play.google.com/store/apps/details?id=com.moneyonclick.customerapp,https://play.google.com/store/apps/details?id=com.moneyonclick.customerapp,,,,,,,,,,,,,,,,,,Pending
Kredit Mart Personal Loan App,KREDITMART SMARTPAY ADVISORY PRIVATE LIMITED,Verified,Listed,https://kreditmart.loan,https://kreditmart.loan,,,,,,,,,,,,,,,,,,Pending
Grameen MAHI,CREDITACCESS GRAMEEN LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.creditaccessgrameen.mahi&hl=en_IN,https://play.google.com/store/apps/details?id=com.creditaccessgrameen.mahi&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Cover Mantra,CoverMantra Services Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.covermantra.loan,https://play.google.com/store/apps/details?id=com.covermantra.loan,,,,,,,,,,,,,,,,,,Pending
Asirvad Online Gold Loan (OGL),ASIRVAD MICRO FINANCE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.asirvadogl,https://play.google.com/store/apps/details?id=com.asirvadogl,,,,,,,,,,,,,,,,,,Pending
SIB Mirror +,SIB,Verified,Listed,www.southindianbank.com,www.southindianbank.com,,,,,,,,,,,,,,,,,,Pending
Loan10minute,UNICAP INVESTMENTS PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.unicap.loan10minute,https://play.google.com/store/apps/details?id=com.unicap.loan10minute,,,,,,,,,,,,,,,,,,Pending
Paisa108,Paisa 108 Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=app.paisa108.com,https://play.google.com/store/apps/details?id=app.paisa108.com,,,,,,,,,,,,,,,,,,Pending
SPEEL FINANCE COMPANY PRIVATE LIMITED,SPEEL FINANCE CO P LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.pocketly,https://play.google.com/store/apps/details?id=com.pocketly,,,,,,,,,,,,,,,,,,Pending
Bahi Khata Loans,Ninjamonk Proptech Pvt Ltd,Verified,Listed,https://play.google.com/store/apps/details?id=com.bahikhata&hl=en_IN,https://play.google.com/store/apps/details?id=com.bahikhata&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Samsung Finance+,Samsung India Electronics Private Ltd.,Verified,Listed,https://play.google.com/store/apps/details?id=com.samsung.android.samsungsure&gl=in,https://play.google.com/store/apps/details?id=com.samsung.android.samsungsure&gl=in,,,,,,,,,,,,,,,,,,Pending
GetCred,Aryaman Finance (India) Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.personalloanapp,https://play.google.com/store/apps/details?id=com.personalloanapp,,,,,,,,,,,,,,,,,,Pending
WeCredit,QuantumX Global Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.wecredit.Wecredit&hl=en_IN,https://play.google.com/store/apps/details?id=com.wecredit.Wecredit&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Finnable: Personal Loan App,Finnable Credit Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.finnable.customer&hl=en_IN,https://play.google.com/store/apps/details?id=com.finnable.customer&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Cashone,S.B.N. LEASING AND FINANCE LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.sbnnbfc.cashone,https://play.google.com/store/apps/details?id=com.sbnnbfc.cashone,,,,,,,,,,,,,,,,,,Pending
Abhicash,Abhicash Infotech Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.abhicash.abhicashapp&hl=en,https://play.google.com/store/apps/details?id=com.abhicash.abhicashapp&hl=en,,,,,,,,,,,,,,,,,,Pending
BRIDGE,ZAVO NEXUS PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.bridge.capital.app,https://play.google.com/store/apps/details?id=com.bridge.capital.app,,,,,,,,,,,,,,,,,,Pending
Oro Money,Orocorp Technologies Pvt ltd,Verified,Listed,https://play.google.com/store/apps/details?id=in.orocorp.customer,https://play.google.com/store/apps/details?id=in.orocorp.customer,,,,,,,,,,,,,,,,,,Pending
Kredmint,Kredmint Technologies Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.schn9891.onecodewebnew&hl=en_IN,https://play.google.com/store/apps/details?id=com.schn9891.onecodewebnew&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Rupeeredee,MONEYMITRA IT SOLUTIONS PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.rupeeredee.app,https://play.google.com/store/apps/details?id=com.rupeeredee.app,,,,,,,,,,,,,,,,,,Pending
MyShubhLife,Datasigns Technologies Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.datasignstech.lam&hl=en&gl=IN,https://play.google.com/store/apps/details?id=com.datasignstech.lam&hl=en&gl=IN,,,,,,,,,,,,,,,,,,Pending
LoanArambh,MIRRAQUIX TECHNOLOGIES PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.app.loanarambh.india.cash,https://play.google.com/store/apps/details?id=com.app.loanarambh.india.cash,,,,,,,,,,,,,,,,,,Pending
Unity Small Finance Bank APP,Unity Small Finance Bank Limited,Verified,Listed,https://apps.apple.com/in/app/unity-bank-fd-savings-account/id6450705139,https://apps.apple.com/in/app/unity-bank-fd-savings-account/id6450705139,,,,,,,,,,,,,,,,,,Pending
FixoFin,AMMO Digital LLP,Verified,Listed,https://play.google.com/store/apps/details?id=ammodigital.fixofin,https://play.google.com/store/apps/details?id=ammodigital.fixofin,,,,,,,,,,,,,,,,,,Pending
50fin: Loan Against Securities App,Fifty Fintech Pvt. Ltd,Verified,Listed,https://play.google.com/store/apps/details?id=com.fiftyfin.app,https://play.google.com/store/apps/details?id=com.fiftyfin.app,,,,,,,,,,,,,,,,,,Pending
Salary112,CREDITBRIDGE TECHNOLOGIES LLP,Verified,Listed,https://play.google.com/store/apps/details?id=com.vimanotech.salary112,https://play.google.com/store/apps/details?id=com.vimanotech.salary112,,,,,,,,,,,,,,,,,,Pending
DMI Finance app,DMI FINANCE PVT LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=in.dmifinance.app&hl=en_IN,https://play.google.com/store/apps/details?id=in.dmifinance.app&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Unnatti,Unnatti Finserv Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.uinvestment.app.unnatii,https://play.google.com/store/apps/details?id=com.uinvestment.app.unnatii,,,,,,,,,,,,,,,,,,Pending
Paytm-MSME,One97 Communications Limited,Verified,Listed,https://apps.apple.com/in/app/paytm-for-business/id1351301966,https://apps.apple.com/in/app/paytm-for-business/id1351301966,,,,,,,,,,,,,,,,,,Pending
DRONA,SATYA MICROCAPITAL LTD,Verified,Listed,play.google.com/store/apps/details?id=com.satyamicrocapital.app,play.google.com/store/apps/details?id=com.satyamicrocapital.app,,,,,,,,,,,,,,,,,,Pending
Buddyloan,BVALUE SERVICES PRIVATE LIMITED -Buddyloan,Verified,Listed,https://play.google.com/store/apps/details?id=com.buddyloan.vls,https://play.google.com/store/apps/details?id=com.buddyloan.vls,,,,,,,,,,,,,,,,,,Pending
Tide,Tide Platform Private Limited -Tide,Verified,Listed,https://play.google.com/store/apps/details?id=co.tide.tideplatform.in&hl=en_IN&pli=1,https://play.google.com/store/apps/details?id=co.tide.tideplatform.in&hl=en_IN&pli=1,,,,,,,,,,,,,,,,,,Pending
CredMe,Delviant AI Labs Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.delviant.credme,https://play.google.com/store/apps/details?id=com.delviant.credme,,,,,,,,,,,,,,,,,,Pending
Nobroker Instacash,Nobroker Technologies Solutions Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.nobroker.loans&hl=en_IN,https://play.google.com/store/apps/details?id=com.nobroker.loans&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
IFHL,Daksfirst India Finance House Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.ifhl,https://play.google.com/store/apps/details?id=com.ifhl,,,,,,,,,,,,,,,,,,Pending
ShubhLoan-Personal Loan App,LUCKY HOLDINGS PVT. LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.shubewzgty.werbfys.rtuca,https://play.google.com/store/apps/details?id=com.shubewzgty.werbfys.rtuca,,,,,,,,,,,,,,,,,,Pending
Equall,LTCV Credit Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=in.co.equall&hl=en,https://play.google.com/store/apps/details?id=in.co.equall&hl=en,,,,,,,,,,,,,,,,,,Pending
Fixrupee,CRONBAY TECHNOLOGIES PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.fixrupee.twa,https://play.google.com/store/apps/details?id=com.fixrupee.twa,,,,,,,,,,,,,,,,,,Pending
Velicham,Velicham Finance Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.velichamfinance.customer,https://play.google.com/store/apps/details?id=com.velichamfinance.customer,,,,,,,,,,,,,,,,,,Pending
SMC Gold Loan,MONEYWISE FINANCIAL SERVICES PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/search?q=smc+gold+loan&c=apps&hl=en_IN,https://play.google.com/store/search?q=smc+gold+loan&c=apps&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Mybank – Android version,RBL BANK LTD,Verified,Listed,https://play.google.com/store/apps/details?id=com.rblbank.mobank,https://play.google.com/store/apps/details?id=com.rblbank.mobank,,,,,,,,,,,,,,,,,,Pending
Upwards by Lendingkart.,Lendingkart Technologies Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.goupwards&gl=IN,https://play.google.com/store/apps/details?id=com.goupwards&gl=IN,,,,,,,,,,,,,,,,,,Pending
Yuva Personal Loan App,YUVARAJ FINANCE (PVT) LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=yuva.loan.app,https://play.google.com/store/apps/details?id=yuva.loan.app,,,,,,,,,,,,,,,,,,Pending
Digicredit,KHOSYA FINLEASE (P) LTD.,Verified,Listed,https://digicredit.in/,https://digicredit.in/,,,,,,,,,,,,,,,,,,Pending
Famescore Pvt Ltd [Other - Disbursal Drawdown],FinAGG Services Pvt Ltd,Verified,Listed,https://play.google.com/store/apps/details?id=com.finagg.retailerApp&hl=en_IN,https://play.google.com/store/apps/details?id=com.finagg.retailerApp&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
WOGOM B2B Marketplace,World Goods Marketplace Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.app.wogom&hl=en_IN,https://play.google.com/store/apps/details?id=com.app.wogom&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Angel One,Angel One Limited,Verified,Listed,https://protect.checkpoint.com/v2/r05/___https://play.google.com/store/apps/details?id=com.msf.angelmobile&hl=en_IN___.YXBzMTphbmdlbG9uZTpjOm86MmNmMjI2MTgzMWVhZTM2ZGE1OTMxYzYyNzI5Yjc4ZGE6Nzo0NTNkOjEyMmE1ZDYxZTlhNmE5NmNiYzExODQwODA1NzhlNDMwZDA0MGJiYzc3ZmQ2ODAzN2E2NzQ2OWVjZWJjODE0MTI6dDpGOkY,https://protect.checkpoint.com/v2/r05/___https://play.google.com/store/apps/details?id=com.msf.angelmobile&hl=en_IN___.YXBzMTphbmdlbG9uZTpjOm86MmNmMjI2MTgzMWVhZTM2ZGE1OTMxYzYyNzI5Yjc4ZGE6Nzo0NTNkOjEyMmE1ZDYxZTlhNmE5NmNiYzExODQwODA1NzhlNDMwZDA0MGJiYzc3ZmQ2ODAzN2E2NzQ2OWVjZWJjODE0MTI6dDpGOkY,,,,,,,,,,,,,,,,,,Pending
Credcashy,TRANSITECH IT SERVICES PRIVATE LIMITED,Verified,Listed,https://credcashy.com/,https://credcashy.com/,,,,,,,,,,,,,,,,,,Pending
Shriram One App,Shriram Finance Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.shriram.oneIOS:,https://play.google.com/store/apps/details?id=com.shriram.oneIOS:,,,,,,,,,,,,,,,,,,Pending
Actoloan,Prakash Chemtex (India) Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.actoloan.app.actoloan,https://play.google.com/store/apps/details?id=com.actoloan.app.actoloan,,,,,,,,,,,,,,,,,,Pending
Google Pay: Secure UPI payment App,Google India Digital Services Pvt. Ltd.,Verified,Listed,https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user,https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user,,,,,,,,,,,,,,,,,,Pending
Groww Credit App,Billionbrains Garage Ventures Limited,Verified,Listed,https://play.google.com/store/apps/details?id=in.groww.dash,https://play.google.com/store/apps/details?id=in.groww.dash,,,,,,,,,,,,,,,,,,Pending
Tala: Fast & Secure Loan App,TALAZEN FINANCE INDIA PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=in.com.tala,https://play.google.com/store/apps/details?id=in.com.tala,,,,,,,,,,,,,,,,,,Pending
SU wallet,S.U.SECURITIES PVT. LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.suwallet.lendspace.solutions,https://play.google.com/store/apps/details?id=com.suwallet.lendspace.solutions,,,,,,,,,,,,,,,,,,Pending
Spice Money Adhikari AEPS App,Spice Money Limited,Verified,Listed,https://play.google.com/store/apps/details?id=in.spicemudra&hl=en_IN,https://play.google.com/store/apps/details?id=in.spicemudra&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
VegaCash: Personal Loan,LUCKY HOLDINGS PVT. LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.vegacash.erscsa.czzditwad,https://play.google.com/store/apps/details?id=com.vegacash.erscsa.czzditwad,,,,,,,,,,,,,,,,,,Pending
GetitNow,KAPIITAL KAPSLOCK PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.kapiital.getitnow,https://play.google.com/store/apps/details?id=com.kapiital.getitnow,,,,,,,,,,,,,,,,,,Pending
Rapid Money,Moneytiem Technology Solutions Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.rapid_money&hl=en_IN,https://play.google.com/store/apps/details?id=com.rapid_money&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
ClickmyLoan,F MEC INTERNATIONAL FINANCIAL SERVICES LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.clickmyloan,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.clickmyloan,,,,,,,,,,,,,,,,,,Pending
mobiCred,mobiCred,Verified,Listed,https://play.google.com/store/apps/details?id=com.oricred.mobicred&pcampaignid=web_share,https://play.google.com/store/apps/details?id=com.oricred.mobicred&pcampaignid=web_share,,,,,,,,,,,,,,,,,,Pending
Smallcase: Stock Investments App,Essential Investment Managers Pvt. Ltd.,Verified,Listed,https://play.google.com/store/apps/details?id=com.smallcase.android&hl=en,https://play.google.com/store/apps/details?id=com.smallcase.android&hl=en,,,,,,,,,,,,,,,,,,Pending
Instant mudra,CHINTAMANI FINLEASE LTD.,Verified,Listed,https://www.instantmudra.com/,https://www.instantmudra.com/,,,,,,,,,,,,,,,,,,Pending
NIRA FINANCE,Shuhari Tech Ventures Pvt Ltd,Verified,Listed,https://www.nirafinance.com,https://www.nirafinance.com,,,,,,,,,,,,,,,,,,Pending
Jupiter,Amica Financial Technologies Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=money.jupiter,https://play.google.com/store/apps/details?id=money.jupiter,,,,,,,,,,,,,,,,,,Pending
Anytime Rupee,Pi Credit Services Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.anytimerupee,https://play.google.com/store/apps/details?id=com.anytimerupee,,,,,,,,,,,,,,,,,,Pending
Kisan nXt App,NABKISAN Finance Ltd,Verified,Listed,https://play.google.com/store/apps/details?id=com.nabkisan.krishivikas&hl=en_IN,https://play.google.com/store/apps/details?id=com.nabkisan.krishivikas&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
ATM Cred,Swastik Finance Limited,Verified,Listed,https://play.google.com/store/apps/details?id=vexil.infotech.atmcred,https://play.google.com/store/apps/details?id=vexil.infotech.atmcred,,,,,,,,,,,,,,,,,,Pending
MobiKwik for Business,One Mobikwik Systems Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.mobikwik.business,https://play.google.com/store/apps/details?id=com.mobikwik.business,,,,,,,,,,,,,,,,,,Pending
SURYALOAN,RAGHAVI FINANCE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.suryaloan.suryaloan&pcampaignid=web_share,https://play.google.com/store/apps/details?id=com.suryaloan.suryaloan&pcampaignid=web_share,,,,,,,,,,,,,,,,,,Pending
Yenmo- Mutual Funds Loan App,Yenmo Technologies Pvt. Ltd.,Verified,Listed,https://play.google.com/store/search?q=yenmo&c=apps&hl=en,https://play.google.com/store/search?q=yenmo&c=apps&hl=en,,,,,,,,,,,,,,,,,,Pending
MyMoneyMantra,MyMoneyMantra Fintech Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.mymoneymantra.customer.app&hl=en_IN,https://play.google.com/store/apps/details?id=com.mymoneymantra.customer.app&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
jUMPP,FINFUTECH SOLUTIONS PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.finvasia.jumpp&hl=en_IN,https://play.google.com/store/apps/details?id=com.finvasia.jumpp&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Kreditzy,Finnovation Tech Solutions Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.kreditzy.android,https://play.google.com/store/apps/details?id=com.kreditzy.android,,,,,,,,,,,,,,,,,,Pending
Olyv (SmartCoin),SmartCoin Financials Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=in.rebase.app&pli=1,https://play.google.com/store/apps/details?id=in.rebase.app&pli=1,,,,,,,,,,,,,,,,,,Pending
Zapcash,Omnistack Innovation Private Limited,Verified,Listed,com.zapcash.loan,com.zapcash.loan,,,,,,,,,,,,,,,,,,Pending
Sampathi Loans,SAMPATHI CREDITS PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=in.sampathi.loan,https://play.google.com/store/apps/details?id=in.sampathi.loan,,,,,,,,,,,,,,,,,,Pending
Loandigit,Credit Wealth Technologies Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.loandigit.android,https://play.google.com/store/apps/details?id=com.loandigit.android,,,,,,,,,,,,,,,,,,Pending
PocketRupee,PHRENOLOGICAL INFO AUDIT AND APP SOLUTION PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.pocket.rupee.deal,https://play.google.com/store/apps/details?id=com.pocket.rupee.deal,,,,,,,,,,,,,,,,,,Pending
Ninjamandi,Ninjacart Services Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.nc.trader,https://play.google.com/store/apps/details?id=com.nc.trader,,,,,,,,,,,,,,,,,,Pending
Salary Flow,DHVIJA FINANCE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.salary.flow,https://play.google.com/store/apps/details?id=com.salary.flow,,,,,,,,,,,,,,,,,,Pending
